id	tags	content	constraints
02	love heart thanks sympathy любовь сердце благодарность симпатия	сердце в обеих руках	рот закрыт предметом; тёмный центр глаза
04	document checklist success happy	лист со списком, широкая улыбка	надписи не часть внешности
06	business office formal suit	деловой костюм, сложенные ладони	костюм скрывает тело
07	wizard expert fantasy beard	шляпа, борода, тёмная одежда	волосы и борода только для образа
11	observation research telescope vacation	шезлонг и зрительная труба	лицо закрыто; использовать только сюжет
14	business celebration formal glass	смокинг и бокал	бокал только по сюжету
15	team friendship hug pair	два обнимающихся персонажа	только парные сцены
16	premium business detective monocle	шляпа, монокль, усы, смокинг	аксессуары не постоянны
17	love relationship heart happy	две половины сердца, улыбка	широкая версия тела
22	happy joy food icecream радость еда мороженое	мороженое, поднятая рука	предмет только по сюжету
25	excitement celebration wow happy восторг праздник радость	поднятые ладони, восторг	гротескный открытый рот
27	funny tongue playful	высунутый язык	не источник базового рта
28	power strength sport muscles	гипертрофированные мышцы	сильная трансформация тела
29	superhero speed power	красный костюм со знаком молнии	цвет одежды не переносить на кожу
30	food burger lunch hungry	белая рубашка, ест бургер	пасть не источник базовой мимики
31	anger error danger red	красный злой персонаж	сильная трансформация цвета и век
32	default neutral gift launch обычный новый нейтральный подарок запуск	подарок, спокойное лицо	база для нового сюжета; подарок убрать при ненадобности
37	security hacker stealth hood безопасность хакер защита	чёрный костюм с капюшоном	одежда скрывает пропорции
38	fear warning anxiety problem страх предупреждение тревога проблема	тревожное лицо, руки у тела	не превращать обычное размышление в испуг
39	monster claws fantasy beard	волосы, борода, когтистый костюм	не базовые кисти и волосы
42	success approval thumbs up успех одобрение отлично	два больших пальца вверх	коричневая радужка и светлый зелёный принадлежат версии
43	medicine doctor science lab	белый халат, галстук, колпачок	костюмированный образ
44	halloween pumpkin autumn	тыквенная голова	сильная трансформация материала и головы
46	newyear christmas santa winter	Санта	борода, обувь и одежда только для образа
48	habr developer hoodie tech разработчик технологии программирование	чёрная толстовка habr	не переносить надпись автоматически
49	technology agent security device glasses технологии безопасность устройство агент	чёрный костюм, очки, светящийся прибор	не источник устройства глаза
54	farming garden food tomato	фермер, помидор и грабли	одежда и реквизит по сюжету
55	space astronaut planning notebook космос космонавт планирование блокнот	космонавт с блокнотом	лицо за стеклом; костюм скрывает пропорции
56	confusion puzzle difficult thinking сложная задача растерянность пазл размышление	чешет макушку, пазлы	коричневая радужка; вытянутое тело
57	thinking document planning fullbody задумчивость документ планирование полный рост	палец у рта, папка, полный рост	короткие ноги; тревожную гримасу смягчать
58	detective research thinking document детектив исследование размышление документ	детектив, лист, монокль и усы	одежду и усы не переносить
59	travel camping rest outdoor cup	походный образ, кресло и кружка	лицо мелкое; много одежды
